ticker,fetch_date,expiration,days_to_exp,opt_type,strike,strike_pct_otm,current_price,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,contractSymbol,vol_oi_ratio,volume_zscore,total_premium_usd,iv_percentile,anomaly_score,flags
AMD,2026-03-26T11:04:02+00:00,2026-03-27,0,put,205.0,7.4488,220.27,0.37,0.0,0.0,25302,0,0.250007,False,AMD260327P00205000,0.0,4.84,936174,58.5,3,Z-SCORE OTM-PREM SHORT-OTM
COIN,2026-03-26T11:04:02+00:00,2026-03-27,0,call,205.0,13.1971,181.1,0.15,0.0,0.0,17446,0,0.500005,False,COIN260327C00205000,0.0,6.63,261690,77.1,3,Z-SCORE OTM-PREM SHORT-OTM
PLTR,2026-03-26T11:04:02+00:00,2026-03-27,0,call,165.0,6.4791,154.96,0.15,0.0,0.0,13577,0,0.250007,False,PLTR260327C00165000,0.0,3.31,203655,64.2,3,Z-SCORE OTM-PREM SHORT-OTM
PLTR,2026-03-26T11:04:02+00:00,2026-03-27,0,call,167.5,8.0924,154.96,0.09,0.0,0.0,13691,0,0.250007,False,PLTR260327C00167500,0.0,3.34,123219,64.3,3,Z-SCORE OTM-PREM SHORT-OTM
COIN,2026-03-26T11:04:02+00:00,2026-03-27,0,call,215.0,18.7189,181.1,0.06,0.0,0.0,15567,0,0.500005,False,COIN260327C00215000,0.0,5.88,93402,77.2,3,Z-SCORE OTM-PREM SHORT-OTM
TSLA,2026-03-26T11:04:02+00:00,2026-03-27,0,put,140.0,175.6786,385.95,0.01,0.0,0.0,23095,0,0.500005,False,TSLA260327P00140000,0.0,3.7,23095,98.2,3,Z-SCORE SHORT-OTM HIGH-IV
TSLA,2026-03-26T11:04:02+00:00,2026-03-27,0,put,400.0,-3.5125,385.95,14.6,0.0,0.0,19598,5207,1e-05,True,TSLA260327P00400000,3.76,3.08,28613080,38.6,2,VOL/OI Z-SCORE
SPY,2026-03-26T11:04:02+00:00,2026-03-26,0,put,657.0,-0.0274,656.82,3.2,0.0,0.0,77878,7634,1e-05,True,SPY260326P00657000,10.2,6.99,24920960,32.2,2,VOL/OI Z-SCORE
QQQ,2026-03-26T11:04:02+00:00,2026-03-26,0,put,589.0,-0.2003,587.82,3.51,0.0,0.0,50369,3364,1e-05,True,QQQ260326P00589000,14.97,5.55,17679519,27.0,2,VOL/OI Z-SCORE
QQQ,2026-03-26T11:04:02+00:00,2026-03-26,0,put,587.0,0.1397,587.82,2.56,0.0,0.0,60137,4807,0.007822,False,QQQ260326P00587000,12.51,6.7,15395072,41.6,2,VOL/OI Z-SCORE
